"Row"	"Gene ID"	"Gene Name"	"Score(d)"	"Numerator(r)"	"Denominator(s+s0)"	"Fold Change"	"q-value(%)"
"36"	"13265"	"g13264"	"g13264"	"14.9512729257741"	"0.361906031104633"	"0.0242057002705605"	"1.28512262921267"	"0"
"37"	"4547"	"g4546"	"g4546"	"14.7989611683087"	"1.60376226820233"	"0.10836992204809"	"3.03934883813593"	"0"
"38"	"21345"	"g21344"	"g21344"	"14.7891601622383"	"0.8686831627664"	"0.0587378291422145"	"1.82599544029863"	"0"
"39"	"13045"	"g13044"	"g13044"	"14.7282003637404"	"1.55061267837415"	"0.105281883738602"	"2.92941518093267"	"0"
"40"	"21265"	"g21264"	"g21264"	"14.686924687821"	"1.39371309915571"	"0.0948948216716485"	"2.62754067774664"	"0"
"41"	"17781"	"g17780"	"g17780"	"14.6858235400696"	"0.5330163256969"	"0.0362946159772784"	"1.44695125963863"	"0"
"42"	"3982"	"g3981"	"g3981"	"14.6622768244554"	"1.25357442870892"	"0.0854965735347508"	"2.384314307439"	"0"
"43"	"10659"	"g10658"	"g10658"	"14.5308076455478"	"1.01841848690902"	"0.0700868466331303"	"2.02569712957195"	"0"
"44"	"18233"	"g18232"	"g18232"	"14.5202952489856"	"1.26564716848253"	"0.0871640105645201"	"2.40435040792081"	"0"
"45"	"19101"	"g19100"	"g19100"	"14.4935331328668"	"1.05795283281797"	"0.072994819352837"	"2.08197512657871"	"0"
"46"	"2549"	"g2548"	"g2548"	"14.4815894709572"	"1.547761136964"	"0.10687784929051"	"2.92363079924377"	"0"
"47"	"14165"	"g14164"	"g14164"	"14.342262285305"	"2.29867386147107"	"0.160272753052793"	"4.92005301624404"	"0"
"48"	"2438"	"g2437"	"g2437"	"14.3032693580098"	"0.812114452469286"	"0.05677823944597"	"1.75578288017505"	"0"
"49"	"5735"	"g5734"	"g5734"	"14.2676965668889"	"1.06906352771198"	"0.0749289503529926"	"2.09807103969024"	"0"
"50"	"6225"	"g6224"	"g6224"	"14.261513167461"	"1.26387784927743"	"0.0886215813453153"	"2.40140352329906"	"0"
"51"	"2548"	"g2547"	"g2547"	"14.2610270371685"	"1.56205424331263"	"0.10953308196117"	"2.95273982816"	"0"
"52"	"10140"	"g10139"	"g10139"	"14.2293997348007"	"1.53076909995299"	"0.107577911119413"	"2.88939831723575"	"0"
"53"	"20191"	"g20190"	"g20190"	"14.1366561547355"	"0.166602003923546"	"0.0117851068951506"	"1.12241173979199"	"0"
"54"	"6562"	"g6561"	"g6561"	"14.0968518616361"	"2.14121233196988"	"0.151892944111663"	"4.41132585155665"	"0"
"55"	"7962"	"g7961"	"g7961"	"14.0052539517917"	"1.2682735995335"	"0.0905569869635424"	"2.40873152242635"	"0"
"56"	"5480"	"g5479"	"g5479"	"13.9966192483357"	"1.22761334799856"	"0.0877078476035938"	"2.34179266209938"	"0"
"57"	"7317"	"g7316"	"g7316"	"13.9067637273236"	"0.221293695057464"	"0.0159126666272954"	"1.16577849605608"	"0"
"58"	"12403"	"g12402"	"g12402"	"13.8267411296514"	"0.56603975363511"	"0.0409380452217506"	"1.4804540915283"	"0"
"59"	"13305"	"g13304"	"g13304"	"13.6479148160156"	"1.86365876876862"	"0.136552637812601"	"3.63929441598952"	"0"
"60"	"6386"	"g6385"	"g6385"	"13.6327629112527"	"0.24952928598915"	"0.0183036474420886"	"1.18881917082559"	"0"
"61"	"12690"	"g12689"	"g12689"	"13.6096013828426"	"1.68574480171851"	"0.123864377383139"	"3.21706436701651"	"0"
"62"	"18559"	"g18558"	"g18558"	"13.5728845699737"	"0.395590026424716"	"0.0291456119283481"	"1.31548064910538"	"0"
"63"	"10327"	"g10326"	"g10326"	"13.5674368359308"	"1.73377027369161"	"0.127789080182046"	"3.32595874514139"	"0"
"64"	"12310"	"g12309"	"g12309"	"13.5374964657159"	"0.311766986198597"	"0.0230298849560668"	"1.24122700121344"	"0"
"65"	"3662"	"g3661"	"g3661"	"13.5209442850953"	"2.57774159595462"	"0.190648045107039"	"5.97004413066295"	"0"
